"ID HISTÓRICO (itep)","Cód. IBGE/Apac","MUNICÍPIO","ESTAÇÃO","LAT","LON","ALT","LOCAL","TIPO PCD","TIPO","TIPO COLETA","OPERAÇÃO","BACIA HIDROGRÁFICA","MICRORREGIÃO","HOMOGENIA","MESORREGIÃO","DATA INSTALAÇÃO","DATA DESINSTALAÇÃO","GOOGLE"
"1980","260110201U","Araripina","Araripina","-7.458","-40.417","830.4","Araripina","Agrometeorologica","Pluviometrica","Automática","APAC","Brígida","Sertão do Araripe","Alto Sertão","Sertão Pernambucano","1/1/1970","7/8/2007","MAPA"
"TPLU190","260110201A","Araripina","Araripina (Gergilin)","-7.808","-40.487","0.0","Estação de Tratamento de Água - Compesa","Meteorologica","Pluviometrica","Automática","APAC","BRÍGIDA","Sertão do Araripe","Sertão Pernambucano","Sertão Pernambucano","1/1/1970","","MAPA"
"16","260120101V","Arcoverde","Arcoverde (IPA)","-8.434","-37.056","684.0","Arcoverde (IPA)","Meteorologica","Pluviometrica","Convencional","APAC","Moxotó","Sertão do Moxotó","Sertão do Moxotó","Sertão Pernambucano","1/1/1962","","MAPA"
"47","261610002H","Arcoverde","Arcoverde (CHESF)","-8.433","-37.067","672.2","Arcoverde (CHESF)","Meteorologica","Pluviometrica","Convencional","APAC","Moxotó","Sertão do Moxotó","Sertão do Moxotó","Sertão Pernambucano","8/1/1913","3/27/2001","MAPA"
"206","260120103V","Arcoverde","Arcoverde","-8.432","-37.060","680.0","Arcoverde","Meteorologica","Pluviometrica","Convencional","APAC","Moxotó","Sertão do Moxotó","Sertão do Moxotó","Sertão Pernambucano","4/1/1973","5/31/1962","MAPA"
"231","260120101M","Arcoverde","Arcoverde - PCD","-8.434","-37.056","684.0","Arcoverde - PCD","Meteorologica","Pluviometrica","Automática","APAC","Moxotó","Sertão do Moxotó","Sertão do Moxotó","Sertão Pernambucano","4/1/1997","4/30/1985","MAPA"
"334","260120104V","Arcoverde","Arcoverde","-8.417","-37.054","684.1","Arcoverde","Meteorologica","Pluviometrica","Convencional","APAC","Moxotó","Sertão do Moxotó","Sertão do Moxotó","Sertão Pernambucano","1/1/1999","","MAPA"
"517","260120105V","Arcoverde","Arcoverde (Fazenda Quixaba)","-8.305","-36.916","805.8","Arcoverde (Fazenda Quixaba)","Meteorologica","Pluviometrica","Convencional","APAC","Ipojuca","Agreste Central","Agreste Central","Agreste Pernambucano","3/14/2001","12/31/1966","MAPA"
"1924","260120102A","Arcoverde","Arcoverde","-8.430","-37.050","682.0","Arcoverde","Meteorologica","Pluviometrica","Automática","INPE","Moxotó","Sertão do Moxotó","Sertão do Moxotó","Sertão Pernambucano","1/1/1970","12/31/1957","MAPA"
"1968","260120103A","Arcoverde","Arcoverde - INMET","-8.434","-37.056","684.0","Arcoverde - INMET","Meteorologica","Pluviometrica","Automática","INMET","Moxotó","Sertão do Moxotó","Sertão do Moxotó","Sertão Pernambucano","1/1/1970","","MAPA"
"TPLU203","260120101A","Arcoverde","Arcoverde (Ipojuca)","-8.314","-36.939","0.0","Unidade de Saúde da Família","Meteorologica","Pluviometrica","Automática","APAC","IPOJUCA","Sertão do Moxotó","Sertão Pernambucano","Sertão Pernambucano","1/1/1970","9/30/1962","MAPA"
"2117","260120101C","ARCOVERDE","ARCOVERDE [C]","-8.405","-36.984","0.0","ARCOVERDE","Meteorologica","Pluviometrica","Automática","CEMADEN","0","Sertão do Moxotó","Sertão Pernambucano","Sertão Pernambucano","1/1/1970","","MAPA"
"104","260130001V","Barra de Guabiraba","Barra de Guabiraba","-8.419","-35.660","492.8","Barra de Guabiraba","Meteorologica","Pluviometrica","Convencional","APAC","Sirinhaém","Agreste Central","Agreste Central","Agreste Pernambucano","1/1/1963","","MAPA"
"459","260130002V","Barra de Guabiraba","Barra de Guabiraba","-8.417","-35.667","480.3","Barra de Guabiraba","Meteorologica","Pluviometrica","Convencional","APAC","Sirinhaém","Agreste Central","Agreste Central","Agreste Pernambucano","1/1/1999","","MAPA"
"2074","260130001A","Barra de Guabiraba","Barra de Guabiraba (Centro)","-8.418","-35.664","482.4","BARRA DE GUABIRABA","Meteorologica","Pluviometrica","Automática","CEMADEN","Sirinhaém","Agreste Central","Agreste Central","Agreste Pernambucano","1/1/1970","","MAPA"
